Title,Description,Source,Published Date,URL,Sentiment Score,Transport Status,Lead Time (days),Geopolitical Risk,route_risk_level,Risk Factor
Seed oils are controversial. But is animal fat really healthier? Experts settle the debate,"Are seed oils, such as canola and soybean oil, or animal fats, such as butter or tallow, healthier for you? Experts reveal the benefits and risks.",TODAY,18-02-2025 23:14,https://www.today.com/health/diet-fitness/seed-oil-vs-animal-fat-rcna190600,0.0,Delivered,21,High,0.580712727,High
"'Father' of Nutella, world's most famous hazelnut spread, dies at 97","Francesco Rivella, who is better known as the ""Father of Nutella"" for his role in creating the world's most famous hazelnut spread, died at age 97 on Feb. 14, 2025.",Fox News,17-02-2025 23:30,https://www.foxnews.com/food-drink/father-nutella-worlds-famous-hazelnut-spread-dies-97,0.5,Delayed,19,Low,8.754269135,Medium
Ingredion Incorporated Reports Strong 2024 Fourth Quarter and Full-Year Results,"WESTCHESTER, Ill., Feb. 04, 2025 (GLOBE NEWSWIRE) -- Ingredion Incorporated (NYSE: INGR), a leading global provider of ingredient solutions to the food and beverage manufacturing industry, today reported its fourth quarter 2024 and full-year 2024 results.",GlobeNewswire,04-02-2025 16:35,https://www.globenewswire.com/news-release/2025/02/04/3020088/0/en/Ingredion-Incorporated-Reports-Strong-2024-Fourth-Quarter-and-Full-Year-Results.html,0.0,Delivered,7,Medium,0.057127848,Low
Ingredion Incorporated Reports Strong 2024 Fourth Quarter and Full-Year Results,"Full-year 2024 reported and adjusted* EPS were $9.71 and $10.65, compared with $9.60 and $9.42 in the full-year 2023, respectively Full-year 2024 cash from operations was $1,436 million, which benefited from approximately $400 million favorable change in workï¿½",Financial Post,04-02-2025 16:37,https://financialpost.com/globe-newswire/ingredion-incorporated-reports-strong-2024-fourth-quarter-and-full-year-results,-0.2,In Transit,11,High,5.319698452,High
Exploring the Health Risks Associated with High Fructose Corn Syrup,Exploring the Health Risks Associated with High Fructose Corn Syrupuncoverdc.com,Uncoverdc.com,15-02-2025 02:05,https://uncoverdc.com/2025/02/14/exploring-the-health-risks-associated-with-high-fructose-corn-syrup,0.16,In Transit,30,Low,8.006999395,Medium
"Stock Market Highlights 18 Feb 2025: Sensex, Nifty close marginally weaker as IT gains offset broader weakness","Sensex, Nifty updates on 18 February 2025: Equity benchmarks ended marginally lower on Tuesday after a volatile session, with the Sensex slipping 29.47 points or 0.04 per cent to 75,968, while the Nifty 50 declined 14.20 points or 0.06 per cent to 22,945.30, ï¿½",BusinessLine,18-02-2025 06:40,https://www.thehindubusinessline.com/markets/stock-market-highlights-february-18-2025/article69229908.ece,-0.1,In Transit,25,Medium,0.406511894,Low
Exclusive-Syria's new leaders zero in on Assad's business barons,"(Reuters) - Syria's new rulers are combing through the billion-dollar corporate empires of ousted president Bashar al-Assad's allies, and have held talks with some of these tycoons, in what they say is a campaign to root out corruption and illegal activity.ï¿½ï¿½ï¿½",The Star Online,13-02-2025 12:05,https://www.thestar.com.my/news/world/2025/02/13/exclusive-syria039s-new-leaders-zero-in-on-assad039s-business-barons,-0.121212121,Pending,26,High,0.516635082,High
Microplastics: Much Less Than You Wanted To Know,"Published on February 15, 2025 7:08 PM GMTMicroplastics have been in the news and the local rationalist discord with increasing frequency over the past few months. Of note are Nat Friedman's PlasticList, and this 2024 preprint demonstrating that some human brï¿½",Lesswrong.com,16-02-2025 00:38,https://www.lesswrong.com/posts/GjbXGybzszw8eN3oB/microplastics-much-less-than-you-wanted-to-know,-0.1125,Delivered,22,Low,9.99996686,Medium
"China's new push for rural reform, revitalization","China unveiled a comprehensive policy blueprint for rural development on Sunday, charting a detailed roadmap to build up the country&#39;s agricultural ...",Antaranews.com,25-02-2025 09:52,https://en.antaranews.com/news/346169/chinas-new-push-for-rural-reform-revitalization,0.2,Delayed,29,Medium,9.931573979,Medium
People on Ozempic love eggs. Now they're in trouble.,"Eggs are lean protein and appeal to people taking Ozempic, Wegovy, or other GLP-1 medications. But a big spike in prices has created a problem.",Business Insider,09-02-2025 16:14,https://www.businessinsider.com/ozempic-wegovy-users-suffer-eggs-price-expensive-protein-glp1-2025-2,-0.0625,In Transit,30,High,9.987122731,High
ï¿½Lil Bucks Embodies The Threefold Synergy Necessary For Regenerative Organic Farming,Emily Griffith creates a supply chain of regenerative organic buckwheat with her Clusterbucks snack,Forbes,11-02-2025 00:58,https://www.forbes.com/sites/andrewwatman/2025/02/10/lil-bucks-embodies-the-threefold-synergy-necessary-for-regenerative-organic-farming/,0.0,In Transit,2,Low,1.76926103,Low
Willy Wonkaï¿½s Dilemma: Is The World Running Out Of Chocolate?,"Chocolate is sourced from cacao, a crop that demonstrates the importance of sustainability innovation in the industries we hold dear.",Forbes,15-02-2025 00:09,https://www.forbes.com/sites/maryjohnstone-louis/2025/02/14/willy-wonkas-dilemma-is-the-world-running-out-of-chocolate/,0.0,Delivered,22,Medium,4.76939119,Low
We're Performing for an Audience of Machines,"We are kept angry, reactive, and sure weï¿½re right. Because that reaction is profitable and mutes our power.",Substack.com,08-02-2025 07:00,https://christopherireland.substack.com/p/outrage-is-addictiveand-someones,0.095238095,In Transit,28,High,6.462534069,High
Amazon Will Spend Nearly a Year of AWS Revenue on AI Investments,There is a bit of AI spending one-upmanship going on among the hyperscalers and cloud builders ï¿½ and now the foundation model builders who are partnering,The Next Platform,08-02-2025 00:45,https://www.nextplatform.com/2025/02/07/amazon-will-spend-nearly-a-year-of-aws-revenue-on-ai-investments/,0.0,Delivered,2,Low,6.881496096,Medium
Billionaire Robert Kuokï¿½s Grandson Drives $10 Billion Bet On AI Data Centers,Kuok Meng Weiï¿½s K2 Strategic aims to have investments of up to $10 billion to keep the business group relevant in the digital age.,Forbes,27-02-2025 07:51,https://www.forbes.com/sites/jonathanburgos/2025/02/26/grandson-of-malaysian-billionaire-robert-kuok-builds-data-centers-as-demand-soars-amid-ai-boom/,0.2,Pending,22,Medium,5.488658661,Medium
Why Food Costs $350/Year for the Average American Household?,There are critical commodities and energy prices that impact global agriculture and grocery prices. It impacts other countries more but it still costs the average american household too. It hits the crops that use the most fertilizer and use the most natural ï¿½,Next Big Future,21-02-2025 22:22,https://www.nextbigfuture.com/2025/02/why-food-costs-350-year-for-the-average-american-household.html,0.147222222,In Transit,8,High,9.99942407,High
Distilling with native flavours a 'powerful' way to engage with culture,These distillers are adding native ingredients like river mint and green ants to create fresh mixed drinks.,ABC News (AU),20-02-2025 02:36,https://www.abc.net.au/news/rural/2025-02-20/native-ingredients-distilled-to-share-culture/104917306,0.033333333,In Transit,12,Low,8.938342145,Medium
Sweet and sour: Navigating the shifting sands of Indiaï¿½s ethanol policy,"India's ethanol program shifts focus to grain-based feedstocks, impacting sugar industry, farmers, and sustainability goals. Adaptation and balance are key.",BusinessLine,16-02-2025 09:30,https://www.thehindubusinessline.com/economy/agri-business/sweet-and-sour-navigating-the-shifting-sands-of-indias-ethanol-policy/article69223344.ece,0.0,Pending,21,Medium,8.924163967,Medium
India must seize global supply chain disruption as opportunity: Amitabh Kant,"Amitabh Kant, former Niti Aayog CEO, emphasized that India must leverage the geopolitical instability disrupting global trade to advance in clean-tech manufacturing. He urged focusing on sectors like electric vehicles and sustainable industries to avoid reliaï¿½",The Times of India,26-02-2025 17:36,https://economictimes.indiatimes.com/news/india/india-must-seize-global-supply-chain-disruption-as-opportunity-amitabh-kant/articleshow/118580406.cms,0.0,Delivered,4,High,9.914752453,High
Warehousing and Supply Chain Leaders Drive Smarter Decisions with Business Intelligence,"Commodity Centre and Lanxing Tapped the Reveal Embedded Analytics Platform to Turn Raw Data into Actionable Insights, Make Informed Decisions About Sourcing, Manufacturing, Inventory, Logistics, Supply Chain, and Customer Fulfillment of Critical Goods Commodiï¿½",GlobeNewswire,06-02-2025 19:00,https://www.globenewswire.com/news-release/2025/02/06/3022022/0/en/Warehousing-and-Supply-Chain-Leaders-Drive-Smarter-Decisions-with-Business-Intelligence.html,-0.115384615,Delayed,11,Low,9.969093801,Medium
Prepper essentials: Why bucket food is a game-changer for emergency preparedness,"Bucket food, consisting of dry, shelf-stable foods stored in airtight five-gallon buckets, is a cost-effective and sustainable way to ensure long-term food security during emergencies. Properly prepared, these foods can last many years. Bucket foodï¿½consistsï¿½oï¿½",Naturalnews.com,26-02-2025 11:30,https://www.naturalnews.com/2025-02-26-bucket-food-game-changer-for-emergency-preparedness.html,0.108333333,Pending,2,Medium,6.448600604,Medium
BUA Foods posts N275bn profit,"BUA Foods Plc has reported a profit after tax soaring by 145.3 per cent to N274.95bn in the fiscal year 2024. In a statement made available to our correspondent on Sunday, the companyï¿½s gross profit grew by 107.9 per cent to N541.71bn, further demonstrating iï¿½",The Punch,03-02-2025 05:38,https://punchng.com/?p=1788598,0.133333333,In Transit,26,High,9.99808181,High
The Engine of Life ï¿½ Understanding Mitochondrial Energy Production,"Just like a car canï¿½t run without gas, your body canï¿½t function without cellular energy. Yet doctors often treat symptoms while missing the real problem ï¿½ an energy deficit at a cellular level Your cells have tiny powerhouses called mitochondria that produce ï¿½",Globalresearch.ca,05-02-2025 20:45,https://www.globalresearch.ca/understanding-mitochondrial-energy-production/5879171,0.0,Delivered,12,Low,4.584968703,Low
"Where Trump's tariffs stand. And, the Education Department may see big cuts","Where President Trump's tariffs stand with Mexico, Canada and China. And, the Education Department may see big cuts to staff and programs.",NPR,04-02-2025 18:08,https://www.npr.org/2025/02/04/g-s1-46371/up-first-newsletter-donald-trump-tariffs-china-mexico-canada-doge-elon-musk-department-of-education,0.0,Delivered,20,Medium,9.332961007,Medium
"With China ready to grab opportunity, Tanzania offers 1 lakh hectares farmland to Indians for investment","Tanzania offers agricultural investment opportunities for Indian entrepreneurs as Chinese companies expand presence, seeking duty-free pulses import extension from India.",BusinessLine,13-02-2025 20:29,https://www.thehindubusinessline.com/economy/agri-business/with-china-ready-to-grab-opportunity-tanzania-offers-1-lakh-hectares-farmland-to-indians-for-investment/article69216024.ece,0.05,On Time,25,High,1.510937256,High
The Ideal Candidate Will Be Punched In the Stomach,"The description suggests that this is some kind of extended metaphor about work. It appears to be written in that _Choose Your Own Adventure_ style second-person voice, yet there are no choices to be found within. Against your better judgment, you follow the ï¿½",Scottsmitelli.com,18-02-2025 18:52,https://www.scottsmitelli.com/articles/ideal-candidate/,0.566666667,In Transit,26,Low,1.028164176,Low
"Latest iPhone 17 Pro design rumor is baffling - Apple, what are you doing?!",What in the world is going on in Apple's head right now?,PhoneArena,19-02-2025 19:16,https://www.phonearena.com/news/latest-iphone-17-pro-design-rumor-is-baffling-apple-what-are-you-doing_id167758,0.285714286,Pending,5,Medium,8.868427776,Medium
"The Best Protein Powders for Weight Loss, According to a Certified Nutrition Coach","When someone says they want to lose weight, what they really mean is they want to shed excess body fat. However, without a well-designed plan in place, a calorie deficit leads you to lose both fat andï¿½valuable muscle tissue. To minimize muscle loss, itï¿½s crucï¿½",Breakingmuscle.com,05-02-2025 04:20,https://breakingmuscle.com/best-protein-powders-for-weight-loss/,-0.3125,In Transit,4,High,4.888240812,High
"The Gaza ï¿½Warï¿½ Was a Lie, as Is the Ceasefire. Trump Just Told You",Israeli Prime Minister Benjamin Netanyahuï¿½s visit to the White House this week tore the mask off 16 months of gaslighting by western leaders and by the entirety of the western establishment media. United States President Donald Trump finally dropped Washingtoï¿½,Antiwar.com,11-02-2025 10:30,https://original.antiwar.com/cook/2025/02/10/the-gaza-war-was-a-lie-as-is-the-ceasefire-trump-just-told-you/,0.0,Delayed,23,Low,0.086825846,Low
"Cokeï¿½s $7 Billion Bet on Milk Hits Big, But Wall Streetï¿½Wants More","The fast-growing Fairlife brand has become crucial to Coca-Colaï¿½s pivot from sugar, but now the soda giant needs to convince investors thereï¿½s more to come.",Financial Post,10-02-2025 16:58,https://financialpost.com/pmn/business-pmn/cokes-7-billion-bet-on-milk-hits-big-but-wall-street-wants-more,0.166666667,Pending,8,Medium,9.645923998,Medium
"Living Well with Will Nitze, Founder/CEO of IQBAR: From Harvard Neuroscience to Brain-Boosting Snacks + the One Habit He Swears By to Avoid Burnout","What does it take to build a brain-boosting empire? As a Harvard neuroscience grad, Will Nitze knew brain fuel was essential. His journey began with a simple idea: what if we could fuel our brains the same way we fuel our bodies? Fast forward, and his brand, ï¿½",thechalkboardmag.com,25-02-2025 03:00,http://thechalkboardmag.com/living-well-with-will-nitze-iqbar/,0.05,In Transit,7,High,9.994850726,High
Millions of Muslims in Indonesia mark the start of the holy month of Ramadan,"Muslims in Indonesia are shopping for sweets and new clothes and taking part in traditional festivities as millions mark the start of the holy month of Ramadan, set to begin Saturday",ABC News,01-03-2025 07:52,https://abcnews.go.com/International/wireStory/millions-muslims-indonesia-mark-start-holy-month-ramadan-119313365,0.068181818,Delayed,16,Low,8.808027387,Medium
Hershey: Price Increases Wonï¿½tï¿½Keep Up With Historically High Cocoa Costs,"Hersheyï¿½expects the surge in cocoa prices to continue to outpace the companyï¿½s price increases on its chocolate products. As a result, the company expects to see its adjusted gross profit margin contract this year, Hershey Senior Vice President and Chief Finaï¿½",pymnts.com,07-02-2025 01:29,https://www.pymnts.com/earnings/2025/hershey-price-increases-wont-keep-up-with-historically-high-cocoa-costs/,0.0,Pending,17,Medium,0.121571621,Low
"US Fresh Food Market Faced Mixed Growth in 2024, With Rising Retail Volumes and Stabilizing Prices","Dublin, Feb. 06, 2025 (GLOBE NEWSWIRE) -- The ""Fresh Food in the US"" report has been added to ResearchAndMarkets.com's offering.2024 brought mixed total volume results across fresh food categories in the US, and although a slight increase in the overall growtï¿½",GlobeNewswire,06-02-2025 20:50,https://www.globenewswire.com/news-release/2025/02/06/3022176/28124/en/US-Fresh-Food-Market-Faced-Mixed-Growth-in-2024-With-Rising-Retail-Volumes-and-Stabilizing-Prices.html,0.072222222,In Transit,6,High,0.648698811,High
"[Latest] Global Sugar Substitute Market Size/Share Worth USD 12,458.9 Million by 2034 at a 5.28% CAGR: Custom Market Insights (Analysis, Outlook, Leaders, Report, Trends, Forecast, Segmentation, Growth, Growth Rate, Value)","[220+ Pages Latest Report] According to a market research study published by Custom Market Insights, the demand analysis of Global Sugar Substitute Market size & share revenue was valued at approximately USD 7,450 Million in 2024 and is expected to reach USD ï¿½",GlobeNewswire,11-02-2025 22:00,https://www.globenewswire.com/news-release/2025/02/11/3024419/0/en/Latest-Global-Sugar-Substitute-Market-Size-Share-Worth-USD-12-458-9-Million-by-2034-at-a-5-28-CAGR-Custom-Market-Insights-Analysis-Outlook-Leaders-Report-Trends-Forecast-Segmentati.html,-6.93889e-18,In Transit,4,Low,7.254259626,Medium
How Stress Hormones Promote Diabetes,"You may have heard that eating more calories than your body needs leads to problems like weight gain and blood sugar issues, but you might not realize how important stress hormones are in this process. A study published in Cell Metabolism found that when you ï¿½",Mercola.com,12-02-2025 05:30,https://articles.mercola.com/sites/articles/archive/2025/02/12/stress-hormones-and-diabetes.aspx,0.45,Delayed,14,Medium,3.219548172,Low
I Was a Barista Snob. Would I Hate the Latest Big Trend in Coffee?,A technique called co-fermentation is on the rise. Itï¿½s controversial.,Slate Magazine,08-02-2025 19:30,https://slate.com/life/2025/02/cofermentation-coffee-flavors-watermelon-coconut-controversy.html,0.55,Delayed,29,High,1.148393608,High
Chinese syrup ban has cost Thai firms B2 billion,"<p>Thai companies grappling with losses of about two billion baht &mdash; twice the amount estimated earlier &mdash; from China&rsquo;s ban on sugar syrup face shutdowns as soon as next month, an industry body said, while negotiations by officials from the coï¿½",Bangkok Post,25-02-2025 13:36,https://www.bangkokpost.com/business/general/2967780/chinese-syrup-ban-has-cost-thai-firms-b2-billion,0.0,Delivered,19,Low,9.688148338,Medium
"$1.8 Billion Sugar Substitutes Market (2025 Edition): Analysis by Source, Product Type, Application and Region (2020-2030)","Includes Detailed Profiles of Industry Giants; UPL, Coromandel, Limin Group, Sumitomo Chemical, Corteva & More Includes Detailed Profiles of Industry Giants; UPL, Coromandel, Limin Group, Sumitomo Chemical, Corteva & More",GlobeNewswire,11-02-2025 20:11,https://www.globenewswire.com/news-release/2025/02/11/3024299/28124/en/1-8-Billion-Sugar-Substitutes-Market-2025-Edition-Analysis-by-Source-Product-Type-Application-and-Region-2020-2030.html,0.45,Pending,2,Medium,9.99684984,Medium
The Hidden Health Benefit of Carbohydrates,"Metabolic flexibility allows your body to efficiently switch between burning carbohydrates and fats based on energy needs. Good metabolic flexibility is linked to better insulin sensitivity, stable energy levels, and effective fat metabolism Avoiding carbohydï¿½",Globalresearch.ca,25-02-2025 20:55,https://www.globalresearch.ca/hidden-health-benefit-carbohydrates/5880855,0.6,Pending,3,High,9.68533353,High
Weekly Coffee News: Letï¿½s Talk Coffee in Peru + Hawaii Competition Judges Sought,"Roast Magazineï¿½s Daily Coffee News is proud to maintain advertising partnerships with many of the worldï¿½s leading coffee companies, yet maintains a focus on fair and objective editorial content, with no sponsored content or native advertising.",Dailycoffeenews.com,14-02-2025 17:16,https://dailycoffeenews.com/2025/02/14/weekly-coffee-news-lets-talk-coffee-in-peru-hawaii-competition-judges-sought/,0.4,In Transit,18,Low,9.99921729,Medium
Hitting Its Stride Or Hitting A Wall? South Texas At a Watershed Moment,"Hitting Its Stride Or Hitting A Wall? South Texas At a Watershed Moment
Greg Flisram
Sun, 02/09/2025 - 05:00



13 minutes",Planetizen.com,09-02-2025 18:30,https://www.planetizen.com/features/134220-hitting-its-stride-or-hitting-wall-south-texas-watershed-moment,0.0,Delayed,22,Medium,3.117474108,Low
Cizzle Brandsï¿½ CWENCH Hydrationï¿½ is Now Available in All Fortinos Supermarkets Across Ontario,"The first supermarket banner under the Loblaw Group of Companies to carry CWENCH Hydrationï¿½, Fortinos is a grocery store chain with locations across the Greater Toronto and Greater Hamilton areas of Southern Ontario. Each Fortinos location will be carrying thï¿½",Financial Post,13-02-2025 19:09,https://financialpost.com/pmn/business-wire-news-releases-pmn/cizzle-brands-cwench-hydration-is-now-available-in-all-fortinos-supermarkets-across-ontario,0.3125,Delivered,26,High,9.934525883,High
Rubicon Organics Obtains Key Certification for International Export,"VANCOUVER, British Columbia, Feb. 11, 2025 (GLOBE NEWSWIRE) -- Rubicon Organics Inc. (TSXV: ROMJ) (OTCQX: ROMJF) (ï¿½Rubicon Organicsï¿½ or the ï¿½Companyï¿½), a licensed producer focused on cultivating and selling organic certified and premium cannabis products, is ï¿½",GlobeNewswire,11-02-2025 17:30,https://www.globenewswire.com/news-release/2025/02/11/3024012/0/en/Rubicon-Organics-Obtains-Key-Certification-for-International-Export.html,0.0,Pending,24,Low,0.631063334,Low
Chai Point looks to list in May 2026: Co-founder,"Conceived in 2009 when Khanna, a professor in Harvard University, was sipping a hot cup of tea at a cafe in Mumbai with his student Amuleek Singh Bijral.",The Times of India,26-02-2025 10:42,https://economictimes.indiatimes.com/markets/stocks/news/chai-point-looks-to-list-in-may-2026-co-founder/articleshow/118571917.cms,0.25,Delayed,1,Medium,5.933766031,Medium
Top 100 Food Trends in February - From Exclusive QSR Value Meals to Custom-Made Snacks (TrendHunter.com),"(TrendHunter.com) The February 2025 food round-up boasts health-focused snacking experiences, supply chain innovations, and streamlined tools to help consumers take control of what goes into their bodies.

Snacking...",Trendhunter.com,09-02-2025 14:40,https://www.trendhunter.com/slideshow/february-2025-food,0.0,Delayed,22,High,5.057452712,High
"India's approach to Africa based on mutually-beneficial ties, unlike 'extractive' models: EAM Jaishankar","India's commitment to Africa focuses on building mutually beneficial partnerships through capacity-building, skill development, and technology transfer. With a significant trade relationship and substantial investments in infrastructure, India, along with Japï¿½",The Times of India,26-02-2025 13:35,https://economictimes.indiatimes.com/news/india/indias-approach-to-africa-based-on-mutually-beneficial-ties-unlike-extractive-models-eam-jaishankar/articleshow/118575213.cms,0.375,Delayed,14,Low,0.639425737,Low
Glucose ï¿½ The Ideal Fuel for Your Cells,"Cells contain specialized organelles called mitochondria that are responsible for cellular energy production. Mitochondria generate adenosine triphosphate (ATP), which functions as the primary energy molecule used by cells to power essential biological procesï¿½",Mercola.com,19-02-2025 05:30,https://articles.mercola.com/sites/articles/archive/2025/02/19/glucose-mitochondria.aspx,0.2,Pending,24,Medium,6.908616319,Medium
Feedstock economics and policy implications for Indiaï¿½s ethanol sector,"Comprehensive analysis of Indian ethanol production landscape, government policies, feedstock economics, and key factors shaping market dynamics.",BusinessLine,15-02-2025 09:30,https://www.thehindubusinessline.com/economy/agri-business/feedstock-economics-and-policy-implications-for-indias-ethanol-sector/article69220611.ece,0.0,In Transit,29,High,9.99531045,High
Rubicon Organics Obtains Key Certification for International Export,"Granted IMC-G.A.P. Equivalency Certification by Control Union (ï¿½CUï¿½) Milestone to export to Israel and EU-GMP facilities in Europe and Australia VANCOUVER, British Columbia, Feb. 11, 2025 (GLOBE NEWSWIRE) ï¿½ Rubicon Organics Inc. (TSXV: ROMJ) (OTCQX: ROMJF) (ï¿½ï¿½",Financial Post,11-02-2025 17:31,https://financialpost.com/globe-newswire/rubicon-organics-obtains-key-certification-for-international-export-2,0.0,Pending,16,Low,2.454631452,Low
"Buy All This, Look Rich","Quince, a one-stop shop for everything from cashmere sweaters and silk slip dresses to bedding and caviar, seduced a generation of jaded shoppers.",The Cut,19-02-2025 18:30,http://www.thecut.com/article/quince-legit-good-brand-dupes-shopping.html,0.0,Delayed,26,Medium,9.999701594,Medium
"Global Frozen Desserts Market to Reach USD 196.30 Billion by 2035, Driven by Innovation and Health-Conscious Trends | Future Market Insights, Inc.","The Frozen Desserts Market is expanding, with the U.S. leading in North America due to rising demand for healthy, low-fat options and premiumization. Indiaï¿½s market is growing as consumers shift toward premium brands, creating opportunities for foreign busineï¿½",GlobeNewswire,24-02-2025 06:00,https://www.globenewswire.com/news-release/2025/02/24/3030838/0/en/Global-Frozen-Desserts-Market-to-Reach-USD-196-30-Billion-by-2035-Driven-by-Innovation-and-Health-Conscious-Trends-Future-Market-Insights-Inc.html,0.083333333,Delivered,13,High,9.998884971,High
IOC signs USD 7-9 bn long-term LNG import deal with UAE firm,"Indian Oil Corporation (IOC) has entered into a 14-year deal, valued at USD 7-9 billion, with ADNOC Gas from UAE for the long-term import of LNG, beginning in 2026. This aligns with India's goal to increase the share of gas in its primary energy mix to 15% byï¿½",The Times of India,13-02-2025 16:02,https://economictimes.indiatimes.com/industry/energy/oil-gas/ioc-signs-usd-7-9-bn-long-term-lng-import-deal-with-uae-firm/articleshow/118212866.cms,0.4,On Time,18,Low,6.789468752,Medium
K-Beauty Products Market Trends and Forecasts Report 2025-2033: Targeted Treatments and Personalized Skincare Drive Industry Evolution,"Dublin, Feb. 25, 2025 (GLOBE NEWSWIRE) -- The ""K-Beauty Products Market Size, Share, Trends, and Forecast 2025-2033"" report has been added to ResearchAndMarkets.com's offering.The global K-beauty products market size reached USD 14.68 billion in 2024. Lookingï¿½",GlobeNewswire,25-02-2025 15:32,https://www.globenewswire.com/news-release/2025/02/25/3031746/28124/en/K-Beauty-Products-Market-Trends-and-Forecasts-Report-2025-2033-Targeted-Treatments-and-Personalized-Skincare-Drive-Industry-Evolution.html,0.0,In Transit,27,Medium,6.21922267,Medium
The Shattered Mirror of Globalisation: Unveiling the Consequences for the Electricity Industry,"2. The Future of Electricity and Industry The global energy sector is at a crossroads, with two competing pathways: Continuation of Fossil Fuels Many governments prioritize short-term energy security by extending the life of oil, gas, and coal, particularly iï¿½",Energycentral.com,28-02-2025 05:03,https://energycentral.com/c/cp/shattered-mirror-globalisation-unveiling-consequences-electricity-industry,0.166666667,In Transit,1,High,1.247131136,High
"Artificial Intelligence in Wound Care Market Analysis, 2025-2030 - Revenues to Grow from $3.32 Billion in 2025 to $7.65 Billion in 2030, at a CAGR of 18.17%","KroniKare Pte. Ltd., Swift Medical, Wound Vision, EKare Inc., and Healthy.io Lead the Competition KroniKare Pte. Ltd., Swift Medical, Wound Vision, EKare Inc., and Healthy.io Lead the Competition",GlobeNewswire,13-02-2025 15:56,https://www.globenewswire.com/news-release/2025/02/13/3025671/28124/en/Artificial-Intelligence-in-Wound-Care-Market-Analysis-2025-2030-Revenues-to-Grow-from-3-32-Billion-in-2025-to-7-65-Billion-in-2030-at-a-CAGR-of-18-17.html,0.0,Pending,22,Low,0.321396196,Low
IOC signs $7-9 bn long-term LNG import deal with UAE firm,IOC signed a long-term deal to receive 1.2 million tonnes per year of LNG from the United Arab Emirates beginning 2026 for 14 years,BusinessLine,13-02-2025 16:45,https://www.thehindubusinessline.com/companies/ioc-signs-7-9-bn-long-term-lng-import-deal-with-uae-firm/article69214972.ece,0.0,On Time,10,Medium,9.67139166,Medium
"MSCI Rejig: Sula Vineyards, DB Corp among 19 stocks to be excluded from smallcap index","MSCIï¿½s latest smallcap index reshuffle, set to take effect on February 28, will result in the exclusion of 19 stocks, including Sula Vineyards, D.B. Corp, Bajaj Hindusthan Sugar, and Bharat Bijlee. These removals are expected to trigger cumulative passive outï¿½",Economictimes.com,12-02-2025 13:35,https://m.economictimes.com/markets/stocks/news/msci-rejig-sula-vineyards-db-corp-among-19-stocks-to-be-excluded-from-smallcap-index/in-focus/slideshow/118170249.cms,0.2,Delayed,14,High,9.9980363,High
White Mulberry Leaves Extract Market Poised for Significant Growth to Reach value of USD 213.27 Billion from 2025 to 2035 | FMI,"The White Mulberry Leaves Extract Market is experiencing steady growth due to increasing demand in the health and wellness industry. Known for its antioxidant, anti-diabetic, and weight management properties, the extract is widely used in dietary supplements,ï¿½",GlobeNewswire,18-02-2025 17:00,https://www.globenewswire.com/news-release/2025/02/18/3027615/0/en/White-Mulberry-Leaves-Extract-Market-Poised-for-Significant-Growth-to-Reach-value-of-USD-213-27-Billion-from-2025-to-2035-FMI.html,-0.014583333,Pending,29,Low,9.826786401,Medium
Chai Point looks to list in May 2026: Cofounder Tarun Khanna,"Conceived in 2009 when Khanna, a professor in Harvard University, was sipping a hot cup of tea at a cafe in Mumbai with his student Amuleek Singh Bijral.",The Times of India,26-02-2025 10:42,https://economictimes.indiatimes.com/markets/stocks/news/chai-point-looks-to-list-in-may-2026-co-founder/articleshow/118573378.cms,0.25,Delivered,28,Medium,9.019966437,Medium
"[Latest] Global Ready-To-Eat Packaging Market Size/Share Worth USD 546.08 Billion by 2034 at a 5.14% CAGR: Custom Market Insights (Analysis, Outlook, Leaders, Report, Trends, Forecast, Segmentation, Growth, Growth Rate, Value)","[220+ Pages Latest Report] According to a market research study published by Custom Market Insights, the demand analysis of Global Ready-To-Eat Packaging Market size & share revenue was valued at approximately USD 415.44 Billion in 2024 and is expected to reaï¿½",GlobeNewswire,26-02-2025 14:00,https://www.globenewswire.com/news-release/2025/02/26/3032610/0/en/Latest-Global-Ready-To-Eat-Packaging-Market-Size-Share-Worth-USD-546-08-Billion-by-2034-at-a-5-14-CAGR-Custom-Market-Insights-Analysis-Outlook-Leaders-Report-Trends-Forecast-Segmen.html,-6.93889e-18,Delayed,14,High,3.533305328,High
"[Latest] Global Brewing Ingredients Market Size/Share Worth USD 81,045.58 Million by 2034 at a 6.79% CAGR: Custom Market Insights (Analysis, Outlook, Leaders, Report, Trends, Forecast, Segmentation, Growth, Growth Rate, Value)","[220+ Pages Latest Report] According to a market research study published by Custom Market Insights, the demand analysis of Global Brewing Ingredients Market size & share revenue was valued at approximately USD 42,016.85 Million in 2024 and is expected to reaï¿½",GlobeNewswire,04-02-2025 22:00,https://www.globenewswire.com/news-release/2025/02/04/3020598/0/en/Latest-Global-Brewing-Ingredients-Market-Size-Share-Worth-USD-81-045-58-Million-by-2034-at-a-6-79-CAGR-Custom-Market-Insights-Analysis-Outlook-Leaders-Report-Trends-Forecast-Segmen.html,-6.93889e-18,Delivered,24,Low,0.149331961,Low
